Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
perception	existence	brush	no	_	_	_	_	Target_Child	no brush	26
perception	existence	brush	no	_	_	_	_	Mother	no brush the trees	26
perception	existence	bread	no	_	_	_	_	Target_Child	no bread	26
perception	existence	bread	no	_	_	_	_	Mother	no bread	26
perception	existence	it	not	_	_	_	_	Mother	but when you sit on Mummy's knee and we read a story and we give one another a hug and you kiss me night night it 's all worth it is n't it	26
perception	existence	brush	no	_	_	_	_	Mother	because we no brush a trees do we	26
perception	existence	brush	no	_	_	_	_	Target_Child	no brush a trees	26
perception	existence	brush	no	_	_	_	_	Target_Child	no brush a tree	26
perception	existence	brush	no	_	_	_	_	Mother	no brush a trees Purdie	26
perception	existence	Bow	no	_	_	_	_	Target_Child	no Bow	26
perception	existence	Bow	no	_	_	_	_	Target_Child	no Bow	26
perception	existence	water	no	_	_	_	_	Target_Child	no Bow water	26
perception	possession	do	not	_	_	_	_	Mother	last year we did n't have as many	26
perception	existence	cat	not	_	_	_	_	Mother	sometimes pussy cat to say night night is n't it	26
perception	existence	chip	no	_	_	_	_	Target_Child	no chip shop	26
perception	possession	do	not	_	_	_	_	Mother	the lady did n't have the big drum	26
perception	existence	you	not	_	_	_	_	Mother	then you were banging the wooden sticks on the wooden instruments making a lot of noise were n't you	26
perception	existence	grape	not	_	_	_	_	Target_Child	not grapes	26
perception	existence	pip	not	_	_	_	_	Mother	not just pips but stones	26
perception	existence	noise	no	_	_	_	_	Mother	no noise is there	26
perception	existence	sticky	no	_	_	_	_	Target_Child	no sticky	26
perception	existence	sticky	no	_	_	_	_	Mother	no sticky	26
perception	existence	fur	not	_	_	_	_	Mother	not like Purdie's fur	26
perception	existence	door	no	_	_	_	_	Target_Child	no doors	26
perception	existence	rattle	no	_	_	_	_	Mother	no rattle the doors	26
perception	existence	toy	no	_	_	_	_	Target_Child	no toys	26
perception	existence	it	not	_	_	_	_	Mother	I think that was an accident anyway was n't it	26
perception	existence	tractor	no	_	_	_	_	Target_Child	no tractor	26
perception	possession	do	not	_	_	_	_	Mother	and we do n't haf ta rush up in the morning	26
perception	possession	do	not	_	_	_	_	Mother	Daddy does n't haf ta rush up in the morning to get to the chip shop	26
perception	existence	it	not	_	_	_	_	Mother	I think it 's just a bit of dust and some leaves is n't it	26
perception	existence	it	not	_	_	_	_	Mother	it 's making a big noise is n't it	26
perception	existence	brick	no	_	_	_	_	Target_Child	no bricks	26
perception	existence	toy	no	_	_	_	_	Target_Child	no toy	26
perception	possession	do	not	_	_	_	_	Target_Child	Mommy Mommy I do n't have some blue	29
perception	existence	you	not	_	_	_	_	Mother	are you not helping put the things out	24
perception	existence	orange	no	_	_	_	_	Target_Child	no orange	24
perception	existence	this	no	_	_	_	_	Target_Child	no this no this way	24
perception	existence	this	no	_	_	_	_	Target_Child	no like this	24
perception	existence	lollie	no	_	_	_	_	Mother	no no lollies	24
perception	existence	lollie	no	_	_	_	_	Mother	no no lollies	24
perception	existence	that	no	_	_	_	_	Mother	no that 's an apple darling	24
perception	existence	handle	no	_	_	_	_	Mother	no what is the handle pointing to	24
perception	existence	rice	no	_	_	_	_	Mother	no rice on the floor	58
perception	existence	lunch	no	_	_	_	_	Target_Child	no for lunch	58
perception	existence	more	no	_	_	_	_	Target_Child	mommy mommy is not in our class no more	58
perception	existence	one	no	_	_	_	_	Mother	no the one that teach with Dusty all the time	58
perception	existence	rice	no	_	_	_	_	Mother	check and make sure there that there 's no rice on the chairs Chi and Sis	58
perception	existence	more	no	_	_	_	_	Target_Child	I do n't want no more	58
perception	existence	mommy	no	_	_	_	_	Target_Child	no Peter_Cottontail mommy	21
perception	existence	Peter_Cottontail	no	_	_	_	_	Mother	no Peter_Cottontail	21
perception	possession	do	not	_	_	_	_	Target_Child	do n't have coat on baby no	21
perception	existence	mommy	no	_	_	_	_	Target_Child	mommy no do n't have coat	21
perception	possession	do	not	_	_	_	_	Target_Child	mommy no do n't have coat	21
perception	existence	mommy	no	_	_	_	_	Target_Child	no pig one more mommy	21
perception	existence	camel	no	_	_	_	_	Mother	there 's no camels there	21
perception	existence	pig	no	_	_	_	_	Target_Child	no pig	21
perception	existence	more	no	_	_	_	_	Target_Child	no clean a little bit more	21
perception	existence	room	no	_	_	_	_	Mother	no in the living room	21
perception	existence	thing	not	_	_	_	_	Target_Child	not that thing	21
perception	existence	kind	not	_	_	_	_	Mother	not that kind	21
perception	existence	that	not	_	_	_	_	Target_Child	not that	21
perception	existence	lollipop	no	_	_	_	_	Mother	no one lollipop	58
perception	existence	these	no	_	_	_	_	Mother	no these are the foods that he ate	58
perception	existence	tree	no	_	_	_	_	Mother	there are no trees said the owl	58
perception	possession	do	not	_	_	_	_	Mother	but what if Betty Lou does n't have any monster berry crunch at her house asked Grover	58
perception	possession	do	not	_	_	_	_	Mother	what if Betty Lou does n't have a night light asked Grover	58
perception	possession	do	not	_	_	_	_	Mother	then we do not haf ta tell them said Grover	58
perception	existence	lid	no	_	_	_	_	Target_Child	there 's no lid for this	36
perception	existence	lid	no	_	_	_	_	Mother	there 's no lid for that	36
perception	possession	do	not	_	_	_	_	Mother	you do n't have lid	36
perception	possession	do	not	_	_	_	_	Mother	do n't have lids for cups do we	36
perception	possession	can	not	_	_	_	_	Mother	you ca n't have spaghetti now because we have n't made it yet	36
perception	possession	do	not	_	_	_	_	Mother	you do n't haf ta hold your teacher's hand do you	36
perception	existence	it	not	_	_	_	_	Mother	bit salty is n't it	36
perception	existence	Awww	not	_	_	_	_	Target_Child	not Awww	36
perception	possession	do	not	_	_	_	_	Mother	I did n't have any of your noodles did I	36
perception	existence	chance	no	_	_	_	_	Target_Child	no chance	36
perception	existence	more	no	_	_	_	_	Target_Child	there 's no more	36
perception	existence	that	no	_	_	_	_	Mother	no more after that	36
perception	existence	he	not	_	_	_	_	Target_Child	why is he not getting off your head	36
perception	possession	be	not	_	_	_	_	Target_Child	you 're not having a milky	36
perception	possession	do	not	_	_	_	_	Mother	you do n't haf ta race okay	57
perception	possession	do	not	_	_	_	_	Mother	she just does n't have ponytails that time	57
perception	existence	me	not	_	_	_	_	Target_Child	not me	58
perception	possession	do	not	_	_	_	_	Target_Child	she 's just that I do n't haf ta play	31
perception	existence	tubing	no	_	_	_	_	Target_Child	we play we just no I did n't tubing I ride in the boat	31
perception	existence	chair	no	_	_	_	_	Target_Child	no Papa's chair is over there	31
perception	existence	room	no	_	_	_	_	Mother	I think we should clean up just a little bit because there 's no room to play here	22
perception	existence	banana	no	_	_	_	_	Mother	no bananas in here	22
perception	possession	do	not	_	_	_	_	Mother	this side of the train does n't have	22
perception	possession	do	not	_	_	_	_	Mother	does n't have flaps or words it 's just the train	22
perception	possession	do	not	_	_	_	_	Mother	we do n't haf ta clean up everything just a few things	22
perception	existence	summer	not	_	_	_	_	Mother	supper not summer	22
perception	possession	do	not	_	_	_	_	Target_Child	does n't have a bear	22
perception	possession	do	not	_	_	_	_	Mother	Thayer does n't have a bear	22
perception	existence	you	not	_	_	_	_	Mother	not you	22
perception	existence	straw	no	_	_	_	_	Target_Child	straws no straws	22
perception	existence	straw	no	_	_	_	_	Target_Child	no straws no straws	22
perception	existence	straw	no	_	_	_	_	Target_Child	no straws no straws	22
perception	existence	straw	no	_	_	_	_	Mother	no straws	22
perception	existence	straw	no	_	_	_	_	Mother	no straws in that box	22
perception	existence	straw	no	_	_	_	_	Target_Child	no straws no straws	22
perception	existence	straw	no	_	_	_	_	Target_Child	no straws no straws	22
perception	existence	straw	no	_	_	_	_	Target_Child	no straws	22
perception	existence	straw	no	_	_	_	_	Target_Child	no straws	22
perception	existence	straw	no	_	_	_	_	Target_Child	no straws	22
perception	existence	straw	no	_	_	_	_	Target_Child	no straws	22
perception	existence	straw	no	_	_	_	_	Mother	no straws	22
perception	existence	straw	no	_	_	_	_	Mother	no straws	22
perception	existence	puzzle	no	_	_	_	_	Target_Child	no igsaw puzzle gain	24
perception	existence	that	no	_	_	_	_	Mother	no that 's a rabbit	24
perception	existence	that	not	_	_	_	_	Mother	not that we know which animals go where	24
perception	existence	those	no	_	_	_	_	Mother	no those are part of the other one	24
perception	existence	one	no	_	_	_	_	Mother	no that one goes with that one	24
